GOLD TO USD SPOT RATE FROM BLOOMBERG,,,,
Date,Open,High,Low,Close
2018-12-17,1236.15,1248.19,1235.87,1245.85
2018-12-14,1241.99,1243.09,1233.02,1239.02
2018-12-13,1245.66,1246.81,1240.21,1241.99
2018-12-12,1243.25,1247.27,1242.07,1245.66
2018-12-11,1244.46,1249.6,1241.1,1243.25
2018-12-10,1250.26,1251.09,1241.68,1244.46
2018-12-07,1237.78,1250.09,1237.38,1249.31
2018-12-06,1237.29,1244.37,1234.83,1237.78
2018-12-05,1238.54,1239.47,1233.44,1237.29
2018-12-04,1230.67,1241.97,1230.6,1238.54
2018-12-03,1221.7,1234.99,1221.52,1230.67
2018-11-30,1224.24,1225.63,1216.77,1220.52
2018-11-29,1221.25,1229.01,1220.5,1224.21
2018-11-28,1215.05,1226.75,1211.27,1221.23
2018-11-27,1222.4,1225.31,1212.03,1215.05
2018-11-26,1223.67,1228.11,1221.78,1222.4
2018-11-23,1227.48,1228.61,1220.42,1223.05
2018-11-22,1226.04,1229.22,1224.95,1228.64
2018-11-21,1221.66,1230.1,1219.81,1226.04
2018-11-20,1224.17,1228.84,1220,1221.66
2018-11-19,1221.91,1225.26,1218.09,1224.17
2018-11-16,1213.36,1225.38,1213.24,1223.36
2018-11-15,1210.88,1216.51,1207.89,1213.36
2018-11-14,1202.23,1216.65,1197.78,1210.88
2018-11-13,1200.37,1205.27,1196.34,1202.23
2018-11-12,1209.38,1211.54,1200.31,1200.37
2018-11-09,1223.98,1224.89,1206.83,1209.65
2018-11-08,1226.49,1227.22,1220.23,1224
2018-11-07,1227.05,1236.46,1223.1,1226.49
2018-11-06,1231.49,1235.96,1223.59,1227.19
2018-11-05,1233.25,1235.19,1226.95,1231.49
2018-11-02,1233.43,1236.52,1229.82,1232.89
